Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
0,1,'[*:1]~[*:2]',0,0,'b0002',803,42,396,396
1,1,'[*:1]~[*:2]',0,0,'b0002',803,42,396,396
2,1,'[*:1]~[*:2]',0,0,'b0002',803,42,396,396
3,1,'[*:1]~[*:2]',0,0,'b0002',725,42,396,396
3,2,'[*:1]~[#8H0:2]',0,0,'b0005',78,30,78,78
4,1,'[*:1]~[*:2]',0,0,'b0001',261,42,193,193
4,2,'[*:1]~[#8H0:2]',0,0,'b0005',78,30,78,78
4,3,'[*:1]~[#1H0:2]',0,0,'b0002',464,42,396,396
5,1,'[*:1]~[*:2]',0,0,'b0001',261,42,193,193
5,2,'[*:1]~[#8H0:2]',0,0,'b0005',78,30,78,78
5,3,'[*:1]~[#1H0:2]',0,0,'b0002',464,42,396,396
6,1,'[*:1]~[*:2]',0,0,'b0001',193,42,193,193
6,2,'[*:1]~[#8H0:2]',0,0,'b0005',78,30,78,78
6,3,'[*:1]~[#1H0:2]',0,0,'b0002',396,42,396,396
6,4,'[*:1]~[#8!H0:2]',0,0,'b0006',136,42,68,68
7,1,'[*:1]~[*:2]',0,0,'b0001',193,42,193,193
7,2,'[*:1]~[#8H0:2]',0,0,'b0005',78,30,78,78
7,3,'[*:1]~[#1H0:2]',0,0,'b0002',396,42,396,396
7,4,'[*:1]~[#8!H0:2]',0,0,'b0006',136,42,68,68
8,1,'[*:1]~[*:2]',0,0,'b0001',193,42,193,193
8,2,'[*:1]~[#8H0:2]',0,0,'b0005',78,30,78,78
8,3,'[*:1]~[#1H0:2]',0,0,'b0002',396,42,396,396
8,4,'[*:1]~[#8!H0:2]',0,0,'b0004',68,42,68,68
8,5,'[*:1]~[#8!H0:2]~[#6]',0,0,'b0006',68,42,68,68
9,1,'[*:1]~[*:2]',0,0,'b0001',193,42,193,193
9,2,'[*:1]~[#8H0:2]',0,0,'b0005',78,30,78,78
9,3,'[*:1]~[#1H0:2]',0,0,'b0002',396,42,396,396
9,4,'[*:1]~[#8!H0:2]',0,0,'b0004',68,42,68,68
9,5,'[*:1]~[#8!H0:2]~[#6]',0,0,'b0006',68,42,68,68
10,1,'[*:1]~[*:2]',0,0,'b0001',193,42,193,193
10,2,'[*:1]~[#8H0:2]',0,0,'b0005',78,30,78,78
10,3,'[*:1]~[#1H0:2]',0,0,'b0002',396,42,396,396
10,4,'[*:1]~[#8!H0:2]',0,0,'b0004',68,42,68,68
10,5,'[*:1]~[#8!H0:2]~[#6]',0,0,'b0006',68,42,68,68
11,1,'[*:1]~[*:2]',0,0,'b0001',193,42,193,193
11,2,'[*:1]~[#8H0:2]',0,0,'b0005',78,30,78,78
11,3,'[*:1]~[#1H0:2]',0,0,'b0002',396,42,396,396
11,4,'[*:1]~[#8!H0:2]',0,0,'b0004',68,42,68,68
11,5,'[*:1]~[#8!H0:2]~[#6]',0,0,'b0006',68,42,68,68
12,1,'[*:1]~[*:2]',0,0,'b0001',193,42,193,193
