Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
625,5,'[#8+0:1]~[*:2]~[*;R2:3]~[*;H0:4]',0,0,'t0012',326,42,307,307 
626,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',928,42,574,574 
626,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0002',33,21,33,101 
626,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',751,42,398,552 
626,4,'[#6!H1;X4:1]~[*:2]~[*:3]~[$ewg2&+0:4]',0,0,'t0001',137,40,115,146 
626,5,'[#8+0:1]~[*:2]~[*;R2:3]~[*;H0:4]',0,0,'t0012',307,42,307,307 
626,6,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
627,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',928,42,574,574 
627,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0002',33,21,33,101 
627,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',751,42,398,552 
627,4,'[#6!H1;X4:1]~[*:2]~[*:3]~[$ewg2&+0:4]',0,0,'t0001',137,40,115,146 
627,5,'[#8+0:1]~[*:2]~[*;R2:3]~[*;H0:4]',0,0,'t0012',307,42,307,307 
627,6,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
628,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',928,42,574,574 
628,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0002',33,21,33,101 
628,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',751,42,398,552 
628,4,'[#6!H1;X4:1]~[*:2]~[*:3]~[$ewg2&+0:4]',0,0,'t0001',137,40,115,146 
628,5,'[#8+0:1]~[*:2]~[*;R2:3]~[*;H0:4]',0,0,'t0012',307,42,307,307 
628,6,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
629,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',928,42,574,574 
629,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0002',33,21,33,101 
629,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',888,42,398,552 
629,4,'[#8+0:1]~[*:2]~[*;R2:3]~[*;H0:4]',0,0,'t0012',307,42,307,307 
629,5,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
630,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',928,42,574,574 
630,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0002',33,21,33,101 
630,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',888,42,398,552 
630,4,'[#8+0:1]~[*:2]~[*;R2:3]~[*;H0:4]',0,0,'t0012',307,42,307,307 
630,5,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
631,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',928,42,574,574 
631,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',340,42,307,307 
631,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',888,42,398,552 
631,4,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
632,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',928,42,574,574 
632,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',340,42,307,307 
632,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',888,42,398,552 
632,4,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
633,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',928,42,574,574 
633,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',340,42,307,307 
633,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',888,42,398,552 
633,4,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
634,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',854,42,574,574 
634,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',340,42,307,307 
634,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',728,42,398,552 
634,4,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
634,5,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'t0003',234,30,156,156 
635,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',819,42,574,574 
635,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',340,42,307,307 
635,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',637,34,355,552 
635,4,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
635,5,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'t0003',192,25,128,156 
635,6,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0001',168,8,21,146 
636,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',819,42,574,574 
636,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',340,42,307,307 
636,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',637,34,355,552 
636,4,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
636,5,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'t0003',192,25,128,156 
636,6,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0001',168,8,21,146 
637,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',819,42,574,574 
637,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',340,42,307,307 
637,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',637,34,355,552 
637,4,'[#8+0:1]~[*:2]~[*:3]~[*;H0;!R0:4]',0,0,'t0010',19,14,19,27 
637,5,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'t0003',192,25,128,156 
637,6,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0001',168,8,21,146 
638,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',819,42,574,574 
