Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
0,1,'[#1]',0,0,'HC',464,42,244,244 
0,2,'[#6]',0,0,'CT',232,42,232,232 
0,3,'[#8]',0,0,'OH',107,42,68,68 
1,1,'[#1]',0,0,'HC',464,42,244,244 
1,2,'[#6]',0,0,'CT',232,42,232,232 
1,3,'[#8]',0,0,'OH',107,42,68,68 
2,1,'[#1]',0,0,'HC',464,42,244,244 
2,2,'[#6]',0,0,'CT',232,42,232,232 
2,3,'[#8]',0,0,'OH',107,42,68,68 
3,1,'[#1]',0,0,'HC',464,42,244,244 
3,2,'[#6]',0,0,'CT',232,42,232,232 
3,3,'[#8]',0,0,'OH',107,42,68,68 
4,1,'[#1]',0,0,'HC',464,42,244,244 
4,2,'[#6]',0,0,'CT',232,42,232,232 
4,3,'[#8]',0,0,'OH',107,42,68,68 
5,1,'[#1]',0,0,'HC',464,42,244,244 
5,2,'[#6]',0,0,'CT',232,42,232,232 
5,3,'[#8]',0,0,'OH',107,42,68,68 
6,1,'[#1]',0,0,'HC',464,42,244,244 
6,2,'[#6]',0,0,'CT',232,42,232,232 
6,3,'[#8]',0,0,'OH',107,42,68,68 
7,1,'[#1]',0,0,'HC',464,42,244,244 
7,2,'[#6]',0,0,'CT',232,42,232,232 
7,3,'[#8]',0,0,'OH',107,42,68,68 
8,1,'[#1]',0,0,'HC',464,42,244,244 
8,2,'[#6]',0,0,'CT',232,42,232,232 
8,3,'[#8]',0,0,'OH',107,42,68,68 
9,1,'[#1]',0,0,'HC',464,42,244,244 
9,2,'[#6]',0,0,'NONE',0,0,0,0 
9,3,'[#8]',0,0,'OH',107,42,68,68 
9,4,'[#6A]',0,0,'CT',232,42,232,232 
10,1,'[#1]',0,0,'HC',464,42,244,244 
10,2,'[#6]',0,0,'CT',232,42,232,232 
10,3,'[#8]',0,0,'OH',107,42,68,68 
11,1,'[#1]',0,0,'HC',464,42,244,244 
