#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
200,7934.831868494968,5939.683117957521,13874.51498645249,286.38157154881503,26.342326662784938,0.6139877476363793
400,7980.290033169398,5961.278073320867,13941.568106490266,287.4227714127917,26.21912015592441,0.6168729430659579
600,7858.600049310719,5971.348898889572,13829.948948200292,287.9083358437358,26.071062083362452,0.6203761766002852
800,7847.99957951848,6014.535409183163,13862.534988701642,289.9905716199502,25.758173201715998,0.6279119908281217
1000,7759.329322336927,6033.114591829905,13792.443914166834,290.88636612932055,25.268080703664644,0.6400907929995396
1200,7625.090437525374,6300.852345025599,13925.942782550974,303.79533063136927,25.087460952510874,0.6446991923894277
1400,7626.955993396175,6085.308998110722,13712.264991506898,293.40291723144367,24.849421019558363,0.6508749560987765
1600,7865.375644993539,5968.3944613880485,13833.770106381588,287.7658877639433,24.523429997470224,0.6595270652128811
1800,7685.363727869762,6125.640424219566,13811.004152089328,295.34749524385234,24.365934929306327,0.6637900766833214
2000,7855.071301021773,5925.466524772674,13780.537825794447,285.69611910674155,24.138606439927567,0.6700414067165014
