Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
0,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',1499,42,0,0 
1,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',1499,42,0,0 
2,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',1499,42,0,0 
3,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',1499,42,0,0 
4,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',1499,42,0,0 
5,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',0,0,0,0 
5,2,'[*:1]!:[*:2]~[*:3]',0,0,'NONE',1499,42,0,0 
6,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',0,0,0,0 
6,2,'[*:1]!:[*:2]~[*:3]',0,0,'NONE',1499,42,0,0 
7,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',0,0,0,0 
7,2,'[*:1]!:[*:2]~[*:3]',0,0,'NONE',36,26,0,0 
7,3,'[*:1]~[*:2]~[*;!H1:3]',0,0,'NONE',1463,42,0,0 
8,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',36,26,0,0 
8,2,'[*:1]~[*:2]~[*;!H1:3]',0,0,'NONE',1463,42,0,0 
9,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',36,26,0,0 
9,2,'[*:1]~[*:2]~[*;!H1:3]',0,0,'NONE',1463,42,0,0 
10,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',36,26,0,0 
10,2,'[*:1]~[*:2]~[*;!H1:3]',0,0,'NONE',1433,42,0,0 
10,3,'[*:1]~[*;H0:2]~[*;!H1:3]',0,0,'NONE',30,25,0,0 
11,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',36,26,0,0 
11,2,'[*:1]~[*:2]~[*;!H1:3]',0,0,'NONE',1433,42,0,0 
11,3,'[*:1]~[*;H0:2]~[*;!H1:3]',0,0,'NONE',30,25,0,0 
12,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',36,26,0,0 
12,2,'[*:1]~[*:2]~[*;!H1:3]',0,0,'NONE',1433,42,0,0 
12,3,'[*:1]~[*;H0:2]~[*;!H1:3]',0,0,'NONE',30,25,0,0 
13,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',36,26,0,0 
13,2,'[*:1]~[*:2]~[*;!H1:3]',0,0,'NONE',68,42,0,0 
13,3,'[*:1]~[*;H0:2]~[*;!H1:3]',0,0,'NONE',30,25,0,0 
13,4,'[*:1]~[*;!X2:2]~[*;!H1:3]',0,0,'NONE',1365,42,0,0 
14,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',104,42,0,0 
14,2,'[*:1]~[*;H0:2]~[*;!H1:3]',0,0,'NONE',30,25,0,0 
14,3,'[*:1]~[*;!X2:2]~[*;!H1:3]',0,0,'NONE',1365,42,0,0 
15,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',134,42,0,0 
15,2,'[*:1]~[*;!X2:2]~[*;!H1:3]',0,0,'NONE',1365,42,0,0 
16,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',1499,42,0,0 
17,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',1295,42,0,0 
17,2,'[$ewg2&!H0:1]~[*:2]~[*:3]',0,0,'NONE',204,42,0,0 
18,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',1295,42,0,0 
18,2,'[$ewg2&!H0:1]~[*:2]~[*:3]',0,0,'NONE',16,8,0,0 
18,3,'[$ewg2&!H0:1]~[*:2]~[*;!H1:3]',0,0,'NONE',188,42,0,0 
19,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',1311,42,0,0 
19,2,'[$ewg2&!H0:1]~[*:2]~[*;!H1:3]',0,0,'NONE',188,42,0,0 
20,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',1311,42,0,0 
20,2,'[$ewg2&!H0:1]~[*:2]~[*;!H1:3]',0,0,'NONE',188,42,0,0 
21,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',1499,42,0,0 
22,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',293,42,0,0 
22,2,'[*:1]~[*:2]~[*:3]!#[#1X1]',0,0,'NONE',1206,42,0,0 
23,1,'[*:1]~[*:2]~[*:3]',0,0,'NONE',164,42,0,0 
23,2,'[*:1]~[*:2]~[*:3]!#[#1X1]',0,0,'NONE',936,42,0,0 
