Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
81,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
81,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
82,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
82,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
82,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
82,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
83,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
83,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
83,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
83,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
84,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
84,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
84,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
84,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
85,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
85,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
85,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
85,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
86,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
86,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
86,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
86,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
87,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
87,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
87,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
87,4,'[*:1]~;@[*:2](~[#6:3])~[#1]',0,0,'a0003',226,42,160,160 
88,1,'[*:1]~[*:2]~[*:3]',0,0,'a0002',300,42,164,164 
88,2,'[*:1]~;@[*:2]~[*:3]',0,0,'a0001',934,42,895,1029 
88,3,'[*:1]~;@[*:2]~[#6:3]',0,0,'a0006',39,30,39,39 
