#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
1000,190.781641046,335.192179882,0.0116459180821
2000,187.463666891,275.656802827,0.0116459180821
3000,217.87251115,391.360209482,0.0116459180821
4000,195.124075048,308.247266808,0.0116459180821
5000,190.406361723,260.877297151,0.0116459180821
6000,212.045622673,206.629009285,0.0116459180821
7000,205.015649037,277.692454868,0.0116459180821
8000,184.421539232,296.584205544,0.0116459180821
9000,194.038042789,377.817076625,0.0116459180821
10000,174.73024216,340.529579153,0.0116459180821
11000,184.809096845,280.233880374,0.0116459180821
12000,184.394682137,310.687332898,0.0116459180821
13000,187.673043173,428.421644558,0.0116459180821
14000,186.606095708,260.780764498,0.0116459180821
15000,183.91040646,337.420796866,0.0116459180821
16000,187.061933404,374.117529255,0.0116459180821
17000,186.041153994,238.297172685,0.0116459180821
18000,176.338161111,221.074147956,0.0116459180821
19000,184.967076288,247.349650764,0.0116459180821
20000,202.614762735,417.744241792,0.0116459180821
21000,178.669073286,277.182140741,0.0116459180821
22000,201.840144844,324.692045467,0.0116459180821
23000,183.613943344,294.084255573,0.0116459180821
24000,187.255470691,420.431453614,0.0116459180821
25000,192.213794398,325.813038849,0.0116459180821
26000,194.964484813,271.740854081,0.0116459180821
27000,199.425990628,371.552466536,0.0116459180821
28000,174.609814053,279.249229197,0.0116459180821
29000,200.605289733,242.745782499,0.0116459180821
30000,182.150433036,286.070612283,0.0116459180821
31000,213.342200954,202.221897489,0.0116459180821
32000,189.16582906,219.647065157,0.0116459180821
33000,187.390708908,349.183113617,0.0116459180821
34000,214.488013977,347.695059671,0.0116459180821
35000,182.638938664,338.194723419,0.0116459180821
36000,191.424387515,297.254027037,0.0116459180821
37000,184.436755068,265.49104302,0.0116459180821
38000,176.626334799,216.457725632,0.0116459180821
39000,209.556935814,348.1076722,0.0116459180821
40000,200.617789861,393.301003108,0.0116459180821
41000,203.534071553,364.165579039,0.0116459180821
42000,219.438044313,333.783737004,0.0116459180821
43000,187.224723749,308.716737774,0.0116459180821
44000,210.616191607,214.959853822,0.0116459180821
45000,189.725915423,476.155293937,0.0116459180821
46000,182.684744863,295.172524549,0.0116459180821
47000,210.510972278,393.609630056,0.0116459180821
48000,188.889059777,286.633660626,0.0116459180821
49000,193.185707504,208.511901306,0.0116459180821
50000,191.307794009,403.586417932,0.0116459180821
51000,193.617687878,221.572799234,0.0116459180821
52000,176.434422186,326.891037783,0.0116459180821
53000,200.558527675,381.091042813,0.0116459180821
54000,192.352153536,284.612207336,0.0116459180821
55000,172.466414917,313.245643058,0.0116459180821
56000,183.776828938,445.004152011,0.0116459180821
57000,192.53916325,258.053309956,0.0116459180821
58000,209.135788802,339.518253371,0.0116459180821
59000,193.493045221,297.434342989,0.0116459180821
60000,186.960643926,264.712427215,0.0116459180821
61000,184.169447623,300.794613986,0.0116459180821
62000,182.613632578,267.342659164,0.0116459180821
63000,176.612098735,202.28754518,0.0116459180821
64000,209.43961278,199.178479075,0.0116459180821
65000,199.694959807,367.438788866,0.0116459180821
66000,183.176045981,367.300734299,0.0116459180821
67000,189.864595703,323.197628141,0.0116459180821
68000,188.224897979,336.833123755,0.0116459180821
69000,198.397777942,395.413280962,0.0116459180821
70000,190.977958534,489.077047861,0.0116459180821
71000,189.202404327,335.65509163,0.0116459180821
72000,198.576730959,325.054581117,0.0116459180821
73000,187.720700522,208.767586144,0.0116459180821
74000,185.012915257,388.795305563,0.0116459180821
75000,182.584159911,388.868411069,0.0116459180821
76000,193.586175111,323.540720804,0.0116459180821
77000,197.428580552,378.336990784,0.0116459180821
78000,168.146609668,339.414509792,0.0116459180821
79000,190.665892339,203.822052076,0.0116459180821
80000,204.458492977,223.910991602,0.0116459180821
81000,217.164298804,197.613325308,0.0116459180821
82000,199.21681498,301.55176776,0.0116459180821
83000,180.274167967,292.514630224,0.0116459180821
84000,200.163177488,271.216942946,0.0116459180821
85000,195.443723444,373.685886433,0.0116459180821
86000,185.927808724,264.722345769,0.0116459180821
87000,191.458040796,313.87829326,0.0116459180821
88000,187.030304208,219.160350879,0.0116459180821
89000,188.823783782,252.652290781,0.0116459180821
90000,184.657827746,267.241544573,0.0116459180821
91000,209.57387833,184.820432857,0.0116459180821
92000,181.93680408,184.300820384,0.0116459180821
93000,177.894762619,356.001286392,0.0116459180821
94000,178.920825662,308.656083357,0.0116459180821
95000,205.143494473,301.618204561,0.0116459180821
96000,183.46027352,260.897222021,0.0116459180821
97000,196.543938419,246.038827587,0.0116459180821
98000,190.877653828,379.318112747,0.0116459180821
99000,180.632563565,393.848652037,0.0116459180821
100000,182.262847492,241.897939825,0.0116459180821
