Iteration,Index,Smarts,Typename,ParentSMARTS,RefType,Matches,Molecules,FractionMatched,Denominator
19,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
19,-1,'total','all','None','all',803,42,612,803 
20,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
20,2,'[#6]','c_carbon','None','CT',232,42,232,232 
20,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
20,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
20,-1,'total','all','None','all',803,42,612,803 
21,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
21,2,'[#6]','c_carbon','None','CT',232,42,232,232 
21,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
21,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
21,-1,'total','all','None','all',803,42,612,803 
22,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
22,2,'[#6]','c_carbon','None','CT',232,42,232,232 
22,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
22,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
22,-1,'total','all','None','all',803,42,612,803 
23,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
23,2,'[#6]','c_carbon','None','CT',232,42,232,232 
23,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
23,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
23,-1,'total','all','None','all',803,42,612,803 
24,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
24,2,'[#6]','c_carbon','None','CT',232,42,232,232 
24,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
24,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
24,-1,'total','all','None','all',803,42,612,803 
25,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
25,2,'[#6]','c_carbon','None','CT',232,42,232,232 
25,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
25,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
25,-1,'total','all','None','all',803,42,612,803 
26,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
26,2,'[#6]','c_carbon','None','CT',232,42,232,232 
26,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
26,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
26,-1,'total','all','None','all',803,42,612,803 
27,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
27,2,'[#6]','c_carbon','None','CT',232,42,232,232 
27,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
27,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
27,-1,'total','all','None','all',803,42,612,803 
28,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
28,2,'[#6]','c_carbon','None','CT',232,42,232,232 
28,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
28,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
28,-1,'total','all','None','all',803,42,612,803 
29,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
29,2,'[#6]','c_carbon','None','CT',232,42,232,232 
29,3,'[#8]','c_oxygen','None','OH',107,42,68,68 
29,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','HC',396,42,244,244 
29,-1,'total','all','None','all',803,42,612,803 
30,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
