Iteration,Index,Smarts,Typename,ParentSMARTS,RefType,Matches,Molecules,FractionMatched,Denominator
0,1,'[#1]','c_hydrogen','None','HC',464,42,244,244 
0,-1,'total','all','None','all',464,42,244,464 
1,1,'[#1]','c_hydrogen','None','HC',464,42,244,244 
1,-1,'total','all','None','all',464,42,244,464 
2,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
2,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
2,-1,'total','all','None','all',464,42,312,464 
3,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
3,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
3,-1,'total','all','None','all',464,42,312,464 
4,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
4,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
4,-1,'total','all','None','all',464,42,312,464 
5,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
5,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
5,-1,'total','all','None','all',464,42,312,464 
6,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
6,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
6,-1,'total','all','None','all',464,42,312,464 
7,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
7,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
7,-1,'total','all','None','all',464,42,312,464 
8,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
8,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
8,-1,'total','all','None','all',464,42,312,464 
9,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
9,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
9,-1,'total','all','None','all',464,42,312,464 
10,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
10,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
10,-1,'total','all','None','all',464,42,312,464 
11,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
11,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
11,-1,'total','all','None','all',464,42,312,464 
12,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
12,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
12,-1,'total','all','None','all',464,42,312,464 
13,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
13,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
13,-1,'total','all','None','all',464,42,312,464 
14,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
14,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
14,-1,'total','all','None','all',464,42,312,464 
15,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
15,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
15,-1,'total','all','None','all',464,42,312,464 
16,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
16,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
16,-1,'total','all','None','all',464,42,312,464 
17,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
17,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
17,-1,'total','all','None','all',464,42,312,464 
18,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
18,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
18,-1,'total','all','None','all',464,42,312,464 
19,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
19,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
19,-1,'total','all','None','all',464,42,312,464 
20,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
20,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
20,-1,'total','all','None','all',464,42,312,464 
21,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
21,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
21,-1,'total','all','None','all',464,42,312,464 
22,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
22,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
22,-1,'total','all','None','all',464,42,312,464 
23,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
23,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
23,-1,'total','all','None','all',464,42,312,464 
24,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
24,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
24,-1,'total','all','None','all',464,42,312,464 
25,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
25,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
25,-1,'total','all','None','all',464,42,312,464 
26,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
26,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
26,-1,'total','all','None','all',464,42,312,464 
27,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
27,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
27,-1,'total','all','None','all',464,42,312,464 
28,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
28,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
28,-1,'total','all','None','all',464,42,312,464 
29,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
29,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
29,-1,'total','all','None','all',464,42,312,464 
30,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
30,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
30,-1,'total','all','None','all',464,42,312,464 
31,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
31,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
31,-1,'total','all','None','all',464,42,312,464 
32,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
32,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
32,-1,'total','all','None','all',464,42,312,464 
33,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
33,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
33,-1,'total','all','None','all',464,42,312,464 
34,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
34,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
34,-1,'total','all','None','all',464,42,312,464 
35,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
35,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
35,-1,'total','all','None','all',464,42,312,464 
36,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
36,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
36,-1,'total','all','None','all',464,42,312,464 
37,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
37,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
37,-1,'total','all','None','all',464,42,312,464 
38,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
38,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
38,-1,'total','all','None','all',464,42,312,464 
39,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
39,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
39,-1,'total','all','None','all',464,42,312,464 
40,1,'[#1]','c_hydrogen','None','HC',396,42,244,244 
40,2,'[#1$(*~[#8])]','c_hydrogen any c_oxygen ','[#1]','HO',68,42,68,68 
